ID,Edad,Ciudad,Puntaje,Ingreso
328,50,Guadalajara,56,28038
329,22,CDMX,71,13094
330,36,Toluca,76,27451
331,21,Toluca,64,8752
332,52,CDMX,88,25521
333,34,Puebla,94,32768
334,61,Guadalajara,84,33410
335,45,Toluca,75,42206
336,47,Guadalajara,72,9427
337,46,CDMX,62,10556
338,63,Guadalajara,75,46300
339,23,CDMX,52,23772
340,52,Puebla,78,33063
341,58,CDMX,51,44760
342,54,CDMX,77,27709
343,41,Toluca,72,20319
344,46,Guadalajara,85,10383
345,63,Toluca,98,6233
346,48,Monterrey,55,32146
347,52,CDMX,60,29713
348,50,Monterrey,87,48758
349,38,Toluca,83,19789
350,49,Guadalajara,66,7930
351,40,Toluca,52,17112
352,50,Guadalajara,93,17374
353,20,Guadalajara,95,36012
354,35,Puebla,83,23523
355,42,CDMX,71,29783
356,59,Toluca,78,20563
357,48,Guadalajara,78,48193
358,20,Toluca,54,15042
359,57,Toluca,59,48163
360,63,Guadalajara,59,27820
361,41,Monterrey,58,36252
362,49,CDMX,70,7208
363,64,CDMX,62,45321
364,39,Puebla,59,18796
365,40,Puebla,87,43390
366,19,Puebla,60,30426
367,44,CDMX,53,27670
368,59,Monterrey,95,29320
369,19,CDMX,80,25074
370,43,CDMX,98,32931
371,34,CDMX,83,23993
372,57,CDMX,91,37991
373,50,Monterrey,84,20003
374,26,Puebla,88,19743
375,60,Toluca,88,19007
376,56,Puebla,82,29300
377,46,Puebla,57,46282
378,59,Toluca,81,21175
379,43,CDMX,82,10973
380,52,Monterrey,57,14703
381,42,Monterrey,95,37313
382,41,Puebla,63,23470
383,30,Toluca,83,34176
384,24,Guadalajara,57,28280
385,53,CDMX,91,28867
386,62,Puebla,56,45431
387,37,Monterrey,62,26845
388,18,Toluca,70,21241
389,25,Toluca,96,40055
390,63,Puebla,81,13878
391,33,Guadalajara,60,15209
392,31,Monterrey,63,33499
393,29,Puebla,60,42603
394,40,Guadalajara,51,40302
395,32,Toluca,83,16004
396,45,CDMX,93,35587
397,51,Monterrey,96,38390
398,19,Monterrey,66,33400
399,49,Guadalajara,63,15975
400,40,Puebla,74,17585
401,39,Toluca,97,11876
402,42,Guadalajara,76,18599
403,39,CDMX,57,30239
404,39,CDMX,66,48906
405,59,CDMX,54,25378
406,23,Guadalajara,61,31568
407,32,Toluca,87,36510
408,60,Monterrey,67,40462
409,54,Puebla,75,25688
410,50,Monterrey,80,26796
411,25,Toluca,86,46478
412,61,Monterrey,55,35796
413,61,Guadalajara,90,25817
414,22,CDMX,64,15061
415,56,Toluca,91,29401
416,21,Toluca,98,8810
417,23,Monterrey,75,38680
418,62,Guadalajara,61,28826
419,49,Monterrey,90,9902
420,47,Monterrey,96,24612
421,64,Toluca,63,15663
422,52,Monterrey,50,18967
423,57,CDMX,66,45536
424,33,Monterrey,82,10135
425,30,CDMX,78,19072
426,59,Toluca,94,46057
427,47,Guadalajara,80,25417
428,36,CDMX,57,11443
429,34,Guadalajara,79,42610
430,36,Guadalajara,62,26925
431,45,CDMX,65,35002
432,43,Toluca,51,41795
433,54,Puebla,94,35993
434,43,Guadalajara,67,5260
435,40,Guadalajara,84,14127
436,26,Toluca,94,41978
437,29,Toluca,68,29843
438,18,Monterrey,62,37840
439,18,Toluca,53,42879
440,64,Guadalajara,68,7921
441,51,CDMX,99,48413
442,49,Puebla,74,8888
443,42,Monterrey,87,5177
444,57,CDMX,80,12426
445,62,Puebla,85,9495
446,18,Puebla,53,38037
447,33,Puebla,88,15047
448,56,CDMX,56,23039
449,22,Monterrey,65,40301
450,39,Monterrey,97,26366
451,46,Puebla,54,25745
452,20,CDMX,96,48082
453,29,Puebla,72,16353
454,43,Toluca,85,30080
455,33,Monterrey,81,23788
456,54,Guadalajara,73,39969
457,39,Puebla,74,10659
458,46,Toluca,94,38921
459,31,Monterrey,77,9161
460,45,CDMX,68,20503
461,22,Monterrey,56,32003
462,64,CDMX,93,29982
463,47,CDMX,90,8478
464,63,Puebla,66,33620
465,22,Puebla,51,40129
466,29,Monterrey,65,32172
467,33,Toluca,88,15160
468,43,Monterrey,67,40214
469,43,Guadalajara,88,16931
470,38,CDMX,50,36170
471,56,CDMX,52,36190
472,53,Puebla,70,12601
473,50,Toluca,79,42819
474,47,Puebla,60,8517
475,54,Guadalajara,71,9802
476,40,Monterrey,96,23759
477,27,Monterrey,74,12850
478,22,Toluca,52,11744
479,53,Puebla,79,27773
480,51,Puebla,73,11248
481,48,Guadalajara,94,12136
482,27,Monterrey,85,47285
483,36,Puebla,72,16800
484,49,Toluca,57,18417
485,18,Monterrey,53,30305
486,22,Guadalajara,99,41735
487,62,Toluca,88,42719
488,21,CDMX,92,9002
489,33,Guadalajara,80,7332
490,41,Toluca,78,31149
491,33,Puebla,85,49228
492,19,CDMX,62,9375
493,45,Guadalajara,90,34458
494,49,Puebla,58,38453
495,44,CDMX,70,25272
496,37,Monterrey,52,22352
497,41,Puebla,74,7033
498,29,Toluca,74,44843
499,52,Guadalajara,61,26645
500,50,CDMX,78,30343
501,50,Puebla,60,5645
502,60,Monterrey,60,36775
503,54,Guadalajara,98,9121
504,29,Guadalajara,75,13112
505,20,Puebla,63,14271
506,18,Monterrey,65,44204
507,50,CDMX,59,30212
508,57,Puebla,80,15292
509,27,CDMX,80,28481
510,60,Guadalajara,85,46060
511,61,CDMX,59,43354
512,46,Monterrey,75,33493
513,30,Toluca,69,34475
514,29,Monterrey,93,5868
515,48,CDMX,58,43682
516,63,Puebla,64,13213
517,19,Guadalajara,58,27739
518,52,Toluca,56,6903
519,40,Puebla,75,40344
520,34,Puebla,73,41877
521,43,Monterrey,61,25998
522,25,CDMX,69,23319
523,46,Monterrey,63,38383
524,43,CDMX,71,26441
525,27,Monterrey,65,15642
526,43,Puebla,78,16776
527,51,Guadalajara,81,29862
528,58,CDMX,68,36103
529,24,Toluca,84,16510
530,21,Toluca,92,39691
531,62,Puebla,81,18402
532,28,Monterrey,69,11455
533,46,Monterrey,89,45372
534,53,Puebla,69,45920
535,42,Toluca,57,7773
536,38,Toluca,84,48050
537,53,Monterrey,91,32377
538,27,CDMX,62,14776
539,54,Guadalajara,90,37059
540,26,CDMX,55,34405
541,41,Toluca,96,5143
542,52,CDMX,65,30698
543,52,Guadalajara,54,22083
544,53,CDMX,94,27702
545,35,CDMX,83,38038
546,56,CDMX,55,46022
547,49,CDMX,82,6007
548,41,Puebla,64,32419
549,40,Toluca,64,48232
550,49,Guadalajara,63,15174
551,54,Toluca,88,35880
552,29,Puebla,54,12203
553,30,Puebla,75,41492
554,40,Puebla,97,33989
555,42,Puebla,66,32331
556,52,CDMX,92,49694
557,58,Toluca,96,27983
558,47,Monterrey,65,34735
559,34,Guadalajara,84,45685
560,37,Puebla,87,25893
561,42,Toluca,72,20739
562,39,Puebla,62,34917
563,30,Puebla,82,25704
564,36,Puebla,78,35152
565,53,Puebla,95,43240
566,29,Puebla,83,12206
567,58,Guadalajara,83,28256
568,36,Toluca,76,29307
569,29,Puebla,64,9716
570,26,Puebla,99,40388
571,24,Puebla,58,23920
572,45,Puebla,75,42871
573,31,CDMX,52,47928
574,48,CDMX,85,28464
575,36,Monterrey,96,43085
576,64,Puebla,54,18587
577,33,Monterrey,69,6195
578,22,Guadalajara,69,30083
579,52,Monterrey,54,27438
580,29,Toluca,59,25009
581,42,CDMX,65,45636
582,38,CDMX,74,40587
583,53,Puebla,93,26143
584,40,Puebla,74,18696
585,33,Guadalajara,79,12564
586,56,Guadalajara,63,8637
587,62,Toluca,71,39641
588,59,Puebla,92,22790
589,56,Puebla,77,33159
590,31,Guadalajara,79,10514
591,48,Guadalajara,68,39345
592,22,Guadalajara,87,26763
593,52,CDMX,91,17568
594,40,Monterrey,69,33003
595,46,Monterrey,84,10311
596,60,Puebla,71,46596
597,28,CDMX,64,43315
598,35,Guadalajara,60,22191
599,64,Puebla,83,25908
600,29,CDMX,73,6415
601,26,Toluca,55,45276
602,27,CDMX,66,23833
603,61,Puebla,77,20406
604,34,Monterrey,99,34336
605,55,Guadalajara,80,34421
606,24,Toluca,85,41264
607,63,CDMX,58,16780
608,30,Puebla,59,44871
609,57,Puebla,70,17221
610,59,Guadalajara,83,26116
611,26,Puebla,80,44790
612,44,Puebla,78,45263
613,19,Guadalajara,92,19422
614,22,Toluca,92,46474
615,46,Monterrey,60,26483
616,54,Monterrey,82,45100
617,55,CDMX,95,10416
618,36,Toluca,50,20251
619,25,CDMX,70,32074
620,62,Monterrey,72,17164
621,18,Guadalajara,58,7468
622,39,Puebla,50,48655
623,34,Monterrey,70,7027
624,24,Toluca,71,28555
625,42,Monterrey,53,16944
626,62,Toluca,50,5315
627,21,Toluca,59,19133
628,53,Toluca,64,41757
629,23,CDMX,85,38298
630,48,Guadalajara,78,29268
631,36,Monterrey,95,48362
632,61,Guadalajara,54,9757
633,56,Puebla,78,45640
634,44,Monterrey,96,34967
635,27,Guadalajara,96,30795
636,43,Guadalajara,76,33798
637,36,Puebla,74,47726
638,56,Toluca,65,38835
639,20,Monterrey,65,36461
640,62,Monterrey,85,38495
641,30,Puebla,74,21627
642,45,Toluca,90,31361
643,37,Monterrey,50,5711
644,45,Monterrey,54,16085
645,25,Monterrey,90,32726
646,58,Toluca,69,12924
647,56,Puebla,54,20549
648,18,Monterrey,85,13462
649,20,Guadalajara,78,47757
650,30,Toluca,97,7560
651,45,CDMX,83,26523
652,42,Puebla,97,24944
653,50,Guadalajara,67,7177
654,55,Monterrey,51,25098
655,23,CDMX,65,40846
656,61,Puebla,78,32475
657,62,Toluca,82,47736
658,49,CDMX,65,37447
659,62,CDMX,84,26416
660,64,Guadalajara,96,19120
661,38,Puebla,92,7948
662,33,Guadalajara,91,7520
663,38,Guadalajara,66,12269
664,28,Monterrey,53,31961
665,54,Toluca,98,18336
666,53,CDMX,53,19020
667,52,Puebla,74,32280
668,36,Toluca,82,48478
669,37,Toluca,63,21746
670,35,Puebla,73,7256
671,64,Toluca,60,45120
672,58,Monterrey,74,32712
673,31,Toluca,77,17836
674,32,Monterrey,56,30711
675,48,CDMX,98,9358
676,18,CDMX,85,16339
677,20,Guadalajara,59,37039
678,33,Monterrey,98,26245
679,40,CDMX,85,22259
680,28,Toluca,80,12129
681,29,Puebla,68,47112
682,27,Puebla,67,45573
683,49,Monterrey,98,46588
684,33,Guadalajara,55,16211
685,25,Toluca,77,35197
686,55,Monterrey,56,20628
687,29,Puebla,87,31300
688,41,Monterrey,61,22512
689,45,Toluca,90,25945
690,25,CDMX,99,46723
691,45,Toluca,83,38787
692,53,CDMX,74,26408
693,43,CDMX,66,25311
694,25,CDMX,82,40609
695,45,Monterrey,72,16139
696,45,Puebla,58,43245
697,54,Monterrey,55,46634
698,58,Puebla,51,22610
699,53,Toluca,87,33952
700,44,Guadalajara,58,18568
701,34,Toluca,52,29899
702,26,Monterrey,65,48798
703,50,Monterrey,74,17002
704,37,Puebla,73,12529
705,30,Monterrey,96,23069
706,45,CDMX,78,8712
707,46,Monterrey,93,44826
708,30,Puebla,89,24328
709,63,Puebla,75,22711
710,52,CDMX,87,10906
711,23,Puebla,84,34107
712,35,Guadalajara,72,22813
713,22,Toluca,53,14153
714,64,Monterrey,91,36679
715,42,Guadalajara,63,34588
716,19,Monterrey,96,28770
717,27,Guadalajara,88,23852
718,47,Monterrey,56,24612
719,62,CDMX,57,35907
720,22,Puebla,91,35171
721,50,Puebla,68,20448
722,18,CDMX,51,8966
723,35,Guadalajara,96,46876
724,49,Toluca,50,26401
725,64,Guadalajara,91,26539
726,28,Puebla,87,39018
727,38,Toluca,62,9688
728,43,Monterrey,91,25457
729,42,Toluca,93,41555
730,39,Guadalajara,73,46899
731,44,CDMX,81,36379
732,30,Monterrey,79,15470
733,50,Guadalajara,55,43426
734,51,Monterrey,87,14193
735,58,Toluca,82,39980
736,52,Puebla,93,44635
737,18,Guadalajara,72,44731
738,38,CDMX,59,27077
739,23,Toluca,95,49097
740,45,Guadalajara,64,41759
741,34,CDMX,72,14295
742,22,Guadalajara,85,19735
743,48,Toluca,50,8032
744,22,Guadalajara,57,48773
745,55,Monterrey,52,41671
746,20,Toluca,63,34897
747,40,Guadalajara,66,30836
748,54,Puebla,83,41438
749,54,Guadalajara,96,26278
750,27,Monterrey,55,26902
751,27,CDMX,54,41091
752,36,CDMX,95,12120
753,34,CDMX,90,12859
754,38,Puebla,89,37867
755,31,Monterrey,78,35611
756,26,Toluca,84,41424
757,63,CDMX,67,11786
758,18,Monterrey,89,38461
759,62,Guadalajara,97,26185
760,30,Puebla,79,45977
761,21,Monterrey,64,36190
762,18,Monterrey,64,8709
763,57,Toluca,65,24154
764,49,Monterrey,82,25859
765,51,Toluca,59,9209
766,45,Puebla,68,28379
767,48,Puebla,86,19846
768,25,Guadalajara,99,23003
769,56,Toluca,52,30426
770,43,Toluca,85,47856
771,51,CDMX,53,30551
772,20,CDMX,60,23900
773,29,Guadalajara,90,17380
774,18,Puebla,82,14707
775,61,CDMX,77,29379
776,22,Monterrey,81,30068
777,47,Puebla,65,11906
778,47,Monterrey,58,20895
779,34,Toluca,60,24420
780,64,Puebla,55,20212
781,40,Guadalajara,98,19323
782,32,Toluca,76,37934
783,54,Toluca,61,12348
784,38,Monterrey,71,5575
785,31,Toluca,89,44939
786,19,CDMX,97,20748
787,28,Puebla,86,8343
788,56,CDMX,70,47115
789,55,Monterrey,82,30391
790,51,Monterrey,66,27407
791,55,Puebla,78,47495
792,51,Toluca,89,48693
793,35,Guadalajara,59,45747
794,47,Monterrey,67,14154
795,32,Puebla,96,26555
796,44,Guadalajara,62,31623
797,51,Toluca,76,43177
798,55,Monterrey,59,42309
799,50,Puebla,81,25244
800,41,Puebla,90,32927
801,32,Puebla,94,6067
802,47,Monterrey,52,22265
803,59,Guadalajara,71,11909
804,34,Puebla,76,26416
805,22,Toluca,52,19236
806,46,Puebla,82,36365
807,21,Guadalajara,51,31125
808,27,Monterrey,60,15929
809,34,Puebla,95,46060
810,27,Puebla,59,36411
811,34,Toluca,88,20319
812,37,Toluca,82,40584
813,41,Puebla,56,11411
814,22,Puebla,64,36602
815,51,Toluca,75,12204
816,23,Guadalajara,60,23899
817,19,CDMX,87,29517
818,30,CDMX,76,39507
819,60,Puebla,88,9052
820,60,Toluca,56,43554
821,28,Monterrey,50,17013
822,64,Monterrey,59,42488
823,40,CDMX,70,41494
824,33,Guadalajara,64,5678
825,48,CDMX,79,35352
826,28,Puebla,79,14098
827,33,Guadalajara,57,13459
828,25,Monterrey,73,43894
829,21,Toluca,68,32679
830,57,Toluca,52,37666
831,21,Puebla,64,18227
832,42,CDMX,85,9906
833,20,Puebla,55,12898
834,49,Toluca,91,38884
835,20,Monterrey,99,11344
836,44,Toluca,97,46858
837,46,Guadalajara,67,32366
838,49,Toluca,87,15836
839,36,Toluca,68,22442
840,38,Guadalajara,98,45920
841,22,CDMX,99,46747
842,35,Toluca,79,17686
843,45,Puebla,62,48604
844,59,Toluca,88,15356
845,39,Puebla,61,46163
846,38,Guadalajara,83,32793
847,23,Toluca,61,7491
848,18,Guadalajara,93,26206
849,22,Guadalajara,73,18928
850,58,CDMX,53,44772
851,29,Toluca,85,16560
852,43,Puebla,99,12011
853,63,Puebla,97,27084
854,51,Toluca,63,49518
855,31,CDMX,66,33633
856,43,CDMX,98,9862
857,62,CDMX,52,43118
858,44,Puebla,87,17682
859,26,Guadalajara,72,16703
860,43,CDMX,62,47379
861,64,Puebla,58,20096
862,39,Puebla,70,19106
863,64,Guadalajara,90,5355
864,47,Toluca,57,13432
865,60,Toluca,66,20700
866,34,CDMX,65,30196
867,43,CDMX,65,36650
868,53,Guadalajara,77,22238
869,18,CDMX,65,49703
870,25,Guadalajara,95,32776
871,52,Puebla,95,11704
872,32,CDMX,63,25008
873,64,Puebla,95,20379
874,39,Monterrey,93,47020
875,31,Guadalajara,87,13573
876,43,Monterrey,69,27415
877,45,CDMX,94,27566
878,40,Puebla,97,6132
879,31,CDMX,90,48798
880,41,Monterrey,83,39847
881,19,CDMX,78,5944
882,62,Toluca,52,10840
883,43,Monterrey,59,44442
884,31,CDMX,69,48489
885,24,Puebla,51,49278
886,20,CDMX,76,38602
887,64,Puebla,81,25134
888,40,Toluca,59,9184
889,63,CDMX,89,32963
890,60,Toluca,66,12178
891,64,Monterrey,82,10168
892,62,Puebla,55,37654
893,35,Monterrey,88,9991
894,55,Puebla,96,13146
895,52,Toluca,67,10290
896,32,Guadalajara,58,29549
897,42,CDMX,57,19844
898,54,Toluca,74,33882
899,45,Puebla,80,45919
900,27,Puebla,91,5028
901,56,Puebla,53,23244
902,34,Puebla,69,12934
903,56,CDMX,77,34845
904,39,Monterrey,89,40340
905,43,Guadalajara,50,45819
906,61,CDMX,89,25398
907,42,Puebla,93,35061
908,34,CDMX,72,7127
909,30,Toluca,96,15083
910,37,Puebla,62,24091
911,42,Guadalajara,65,14933
912,21,Puebla,75,20877
913,27,Guadalajara,80,39581
914,20,Guadalajara,99,17519
915,58,Monterrey,50,12816
916,62,Monterrey,66,13351
917,35,CDMX,65,20648
918,64,CDMX,86,49002
919,53,Guadalajara,59,32461
920,64,Puebla,87,46264
921,39,Toluca,93,49901
922,51,Toluca,80,46359
923,64,Puebla,59,49480
924,25,Puebla,98,44017
925,57,Monterrey,83,20441
926,61,Toluca,55,44253
927,36,Guadalajara,77,14177
928,59,CDMX,77,39573
929,58,Monterrey,62,26431
930,54,Toluca,90,26924
931,23,Puebla,61,39864
932,43,Toluca,99,17493
933,51,Guadalajara,89,10337
934,62,Monterrey,99,21035
935,23,Puebla,51,28318
936,54,Guadalajara,57,47305
937,50,CDMX,91,46190
938,39,Monterrey,58,8782
939,38,Guadalajara,99,18798
940,23,Guadalajara,57,24884
941,23,Puebla,52,14074
942,21,CDMX,58,32349
943,47,Guadalajara,62,31907
944,28,Monterrey,58,26989
945,47,Guadalajara,80,44187
946,48,Toluca,74,13624
947,41,Monterrey,93,12889
948,26,Monterrey,94,32256
949,20,Guadalajara,57,15455
950,48,Puebla,96,16194
951,57,Monterrey,80,26622
952,54,Toluca,94,31988
953,53,Puebla,94,12570
954,41,Puebla,80,26487
955,48,Puebla,66,5617
956,23,Monterrey,96,46277
957,19,Puebla,68,11285
